plants,operator,nrg_bal,siec,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CHP,PRR_AUTO,GEP,CF,GWH,IE	2189.029 	2198.750 	2157.494 	2071.680 	2056.659 	2127.349 	1964.134 	1946.361 	1832.593 	1878.857 	1822.549 	1590.037 	629.892 	668.000 	634.000 	629.000 	579.000 	579.000 	381.000 	412.000 	290.000 	235.000 	237.000 	222.000 	205.000 	196.000 	187.000 	195.000 
CHP,PRR_AUTO,GEP,CF,GWH,IT	18735.698 	17333.000 	17750.000 	14406.000 	14703.000 	14776.000 	21769.000 	21730.000 	18237.000 	17008.000 	17505.000 	16051.000 	17440.000 	16525.000 	16910.000 	: 	: 	: 	49562.000 	44291.000 	39860.000 	31201.000 	27976.000 	25713.000 	22356.000 	19167.000 	17436.000 	15890.000 
CHP,PRR_AUTO,GEP,CF,GWH,LT	575.900 	618.000 	666.000 	493.000 	384.000 	560.000 	343.000 	302.000 	351.000 	213.000 	383.000 	168.000 	173.000 	165.000 	32.000 	21.000 	17.000 	17.000 	19.000 	22.000 	23.000 	21.000 	21.000 	12.000 	20.000 	55.000 	81.000 	111.000 
CHP,PRR_AUTO,GEP,CF,GWH,LU	165.411 	177.029 	163.997 	169.072 	185.939 	181.443 	177.244 	188.128 	180.923 	162.614 	153.251 	185.542 	174.919 	171.598 	145.871 	131.809 	66.399 	47.549 	179.000 	175.000 	101.000 	112.000 	102.000 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,LV	187.724 	207.000 	253.000 	246.000 	251.000 	176.000 	79.000 	65.000 	60.000 	59.000 	66.000 	75.000 	78.000 	80.000 	53.000 	41.000 	39.000 	34.000 	47.000 	69.000 	82.000 	90.000 	76.000 	32.000 	42.000 	72.000 	86.000 	109.000 
CHP,PRR_AUTO,GEP,CF,GWH,MD	47.000 	41.000 	39.000 	61.000 	36.000 	29.000 	29.000 	32.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,MK	: 	: 	: 	1.000 	2.000 	2.000 	2.000 	2.000 	1.000 	3.000 	3.000 	1.000 	3.000 	5.000 	6.000 	6.000 	5.000 	12.000 	26.000 	46.000 	31.000 	36.000 	9.000 	22.000 	46.000 	70.000 	70.000 	115.000 
CHP,PRR_AUTO,GEP,CF,GWH,MT	9.738 	8.000 	7.000 	7.000 	6.000 	9.000 	5.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,NL	21401.943 	19703.118 	20045.785 	19295.000 	22266.000 	23215.000 	22620.000 	21743.000 	19502.000 	19715.000 	16647.000 	14680.000 	12294.000 	11374.000 	11200.000 	11249.000 	11332.000 	11543.000 	11089.000 	11495.000 	11459.000 	11101.000 	10757.000 	12617.000 	12232.000 	13337.000 	12115.000 	11938.000 
CHP,PRR_AUTO,GEP,CF,GWH,NO	2521.000 	2598.000 	2596.000 	2587.000 	2425.000 	2564.000 	2507.000 	2141.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
