plants,operator,nrg_bal,siec,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CHP,PRR_AUTO,NEP,CF,GWH,LU	165.411 	177.029 	163.997 	169.072 	185.939 	181.443 	177.244 	188.128 	180.923 	162.614 	153.251 	185.542 	174.919 	171.598 	145.871 	131.809 	66.399 	47.549 	178.000 	175.000 	101.000 	112.000 	100.000 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,CF,GWH,LV	179.233 	190.000 	239.000 	237.000 	244.000 	166.000 	75.000 	63.000 	56.000 	58.000 	60.000 	69.000 	74.000 	77.000 	50.000 	36.000 	34.000 	23.000 	41.000 	59.000 	45.000 	61.000 	47.000 	21.000 	27.000 	48.000 	57.000 	83.000 
CHP,PRR_AUTO,NEP,CF,GWH,MD	33.000 	37.000 	36.000 	57.000 	30.000 	26.000 	25.000 	30.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,CF,GWH,MK	: 	: 	: 	1.000 	2.000 	2.000 	2.000 	2.000 	1.000 	3.000 	3.000 	1.000 	3.000 	3.000 	5.000 	5.000 	4.000 	9.000 	22.000 	37.000 	29.000 	34.000 	8.000 	21.000 	43.000 	66.000 	66.000 	108.000 
CHP,PRR_AUTO,NEP,CF,GWH,MT	9.000 	8.000 	7.000 	7.000 	6.000 	9.000 	5.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,CF,GWH,NL	20623.472 	18930.473 	19167.793 	18128.000 	21296.412 	22254.177 	20819.000 	20281.000 	18064.000 	18617.000 	15561.000 	13634.000 	11410.000 	10473.000 	10343.000 	10432.000 	10557.000 	10770.000 	10312.000 	10717.000 	10709.000 	10387.000 	10167.000 	11985.000 	11524.000 	12779.000 	11597.000 	11429.000 
CHP,PRR_AUTO,NEP,CF,GWH,NO	2521.000 	2598.000 	2596.000 	2587.000 	2425.000 	2564.000 	2507.000 	2141.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,CF,GWH,PL	10784.392 	9666.000 	8707.000 	8237.000 	8268.000 	7870.000 	7782.000 	7406.000 	6435.000 	6276.000 	6980.000 	7220.000 	7139.000 	7222.000 	7240.000 	7107.000 	7060.000 	6552.000 	6556.000 	6810.000 	7318.000 	7470.000 	7609.000 	6532.000 	6610.000 	6198.000 	5951.000 	6068.000 
CHP,PRR_AUTO,NEP,CF,GWH,PT	6955.614 	6809.000 	6976.000 	7287.000 	7869.000 	7376.000 	7402.000 	6968.000 	5801.000 	5364.000 	5732.000 	5076.000 	4871.000 	4504.000 	4464.000 	4563.000 	4124.000 	4256.000 	4504.000 	3948.000 	3769.000 	3209.000 	3095.000 	2619.000 	2126.000 	1785.000 	1602.000 	1403.000 
CHP,PRR_AUTO,NEP,CF,GWH,RO	937.184 	921.000 	1382.000 	1422.000 	1609.000 	2050.000 	1977.000 	1792.000 	1542.000 	2231.000 	1905.000 	1865.000 	2005.000 	1890.000 	1399.000 	1467.000 	1240.000 	1225.000 	962.000 	966.000 	907.000 	813.000 	772.000 	806.000 	1011.000 	1070.000 	: 	: 
CHP,PRR_AUTO,NEP,CF,GWH,RS	489.184 	420.000 	292.000 	257.000 	177.000 	150.000 	131.000 	151.000 	13.000 	1.000 	95.000 	94.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,CF,GWH,SE	5986.000 	5527.000 	5613.000 	5583.000 	5640.000 	6111.000 	5790.000 	6418.000 	5573.000 	6247.000 	5763.000 	5041.000 	4571.000 	4592.000 	4446.000 	4358.000 	3695.000 	3667.000 	3440.000 	3619.000 	3891.000 	4029.000 	3844.000 	3832.000 	3533.000 	3089.000 	2907.000 	2585.000 
CHP,PRR_AUTO,NEP,CF,GWH,SI	238.264 	238.000 	237.000 	240.000 	210.000 	216.000 	211.000 	247.000 	252.000 	243.000 	267.000 	280.000 	328.000 	322.000 	296.000 	297.000 	395.000 	408.000 	327.000 	320.000 	309.000 	234.000 	244.000 	246.000 	237.000 	278.000 	532.000 	893.000 
CHP,PRR_AUTO,NEP,CF,GWH,SK	1974.000 	1914.000 	1965.000 	1761.000 	1663.000 	1502.000 	1626.000 	1862.000 	1936.000 	2509.000 	2420.000 	2546.000 	2193.000 	2094.000 	2102.000 	2198.000 	2172.000 	1430.000 	1244.000 	1133.000 	1609.000 	1436.000 	1485.000 	1216.000 	1452.000 	2227.000 	2121.000 	2337.000 
CHP,PRR_AUTO,NEP,CF,GWH,TR	5203.105 	5077.000 	4291.000 	4169.000 	3600.000 	3565.000 	3659.000 	4068.000 	4139.000 	5378.000 	5964.000 	5167.000 	4823.000 	4317.000 	4850.000 	5252.000 	5214.000 	4791.000 	10858.000 	8837.000 	6893.000 	5388.000 	5041.000 	3917.000 	3578.000 	3188.000 	2925.000 	2889.000 
CHP,PRR_AUTO,NEP,CF,GWH,UA	2757.000 	4081.000 	940.000 	1860.000 	2044.000 	2413.000 	2878.000 	3524.000 	3284.000 	4079.000 	3217.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,CF,GWH,UK	20172.516 	19397.345 	18447.861 	18052.000 	17889.000 	20924.000 	20897.000 	24449.000 	24243.000 	25472.000 	25508.000 	26190.000 	26262.000 	24995.000 	23747.000 	23487.000 	21571.000 	25490.000 	19401.000 	17880.000 	16034.000 	15237.000 	13814.000 	12088.000 	11718.000 	11926.000 	10496.000 	9398.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,AT	4339.479 	4311.612 	3945.582 	3809.343 	4253.932 	4477.329 	4866.970 	4600.998 	3937.250 	4179.038 	4198.707 	4033.949 	3660.080 	3656.000 	4095.000 	4600.000 	3908.000 	3116.000 	2774.000 	2436.000 	2580.000 	2334.000 	3523.000 	3456.000 	3144.000 	3516.000 	3466.000 	2795.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,BE	7583.900 	6906.000 	6527.000 	6416.000 	5983.000 	5781.000 	5198.000 	4278.000 	3318.000 	2435.000 	1659.000 	1315.000 	1376.000 	1266.000 	1121.000 	1068.000 	1191.000 	1288.000 	78.000 	92.000 	89.000 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,BG	441.599 	341.000 	325.000 	224.000 	258.000 	262.000 	130.000 	227.000 	194.000 	718.000 	1518.000 	1362.000 	1258.000 	1293.000 	1638.000 	1203.000 	1444.000 	1533.000 	1771.000 	1853.000 	1937.000 	2273.000 	2302.000 	2397.000 	2585.000 	3144.000 	2365.000 	3205.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,CY	40.524 	38.000 	37.000 	38.000 	45.000 	39.000 	40.000 	57.000 	64.000 	61.000 	65.000 	32.000 	28.000 	24.000 	8.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,CZ	7524.838 	7887.000 	7774.000 	7652.000 	7277.000 	6695.000 	6636.000 	6868.000 	7004.000 	7447.000 	7390.000 	8215.000 	8277.000 	7853.000 	7540.000 	7488.000 	7877.000 	8704.000 	5822.000 	6189.000 	6136.000 	6079.000 	5318.000 	5384.000 	5791.000 	6022.000 	6051.000 	6217.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,DE	37134.000 	35295.000 	33051.000 	29711.000 	28949.000 	28280.000 	28432.000 	29795.000 	26564.000 	25695.000 	25573.000 	25769.000 	25598.000 	22933.000 	23513.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,DK	2088.154 	2030.105 	2181.918 	2006.000 	1909.000 	1940.000 	2144.000 	2277.000 	2096.000 	2293.000 	2357.000 	2584.000 	2874.000 	2736.000 	2763.000 	2666.000 	2656.000 	2826.000 	2699.000 	2234.000 	1919.000 	1703.000 	1232.000 	984.000 	804.000 	743.000 	630.000 	581.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,EA19	149815.340 	141326.735 	139313.664 	128777.790 	137540.356 	136357.903 	141523.344 	136358.130 	126234.768 	130574.468 	127715.840 	123464.491 	126688.999 	121111.598 	116175.871 	76171.809 	70695.399 	67302.549 	108572.000 	98312.000 	90555.000 	73173.000 	66771.000 	62933.000 	54334.000 	52074.000 	47875.000 	46470.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,EE	45.000 	46.000 	27.000 	37.000 	70.000 	66.000 	79.000 	77.000 	72.000 	85.000 	114.000 	100.000 	103.000 	109.000 	140.000 	161.000 	115.000 	90.000 	57.000 	82.000 	101.000 	158.000 	150.000 	117.000 	24.000 	48.000 	136.000 	154.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,EL	1656.348 	1766.000 	2123.000 	1680.000 	1843.000 	2034.000 	2252.000 	2442.000 	1933.000 	1289.000 	877.000 	983.000 	1042.000 	962.000 	1018.000 	1014.000 	899.000 	990.000 	901.000 	888.000 	914.000 	846.000 	825.000 	773.000 	797.000 	908.000 	910.000 	859.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,ES	31124.000 	28962.000 	28490.000 	26810.000 	32639.000 	31397.000 	30379.000 	28288.000 	30754.000 	30834.000 	29973.000 	30624.000 	36925.000 	35408.000 	30456.000 	30039.000 	26882.000 	25170.000 	26449.000 	21110.000 	18322.000 	12376.000 	8602.000 	6867.000 	3622.000 	3084.000 	2489.000 	2697.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,EU28	198925.253 	188045.185 	184654.443 	172854.790 	181276.356 	183071.903 	188029.344 	186682.130 	174060.768 	182114.468 	180167.840 	177023.491 	180214.999 	172832.598 	165842.871 	124820.809 	117168.399 	118311.549 	150136.000 	138759.000 	129905.000 	111941.000 	102787.000 	96035.000 	87593.000 	85436.000 	77480.000 	75854.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,FI	7745.000 	7465.000 	7863.000 	8209.000 	7902.000 	7757.000 	8426.000 	8871.000 	7894.000 	9390.000 	9741.000 	9682.000 	8703.000 	9588.000 	9238.000 	9272.000 	9011.000 	9482.000 	11392.000 	12063.000 	10978.000 	9705.000 	9474.000 	9449.000 	8659.000 	7690.000 	6921.000 	7302.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,FR	8930.803 	8467.027 	8439.612 	7654.653 	7676.027 	7919.235 	8208.813 	5115.000 	5598.000 	11242.000 	12351.000 	11987.000 	12744.000 	12796.000 	12316.000 	11592.000 	10702.000 	9582.000 	2178.000 	2304.000 	2397.000 	2058.000 	1942.000 	1268.000 	1112.000 	1260.000 	1249.000 	1091.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,HR	393.500 	314.000 	294.000 	320.000 	310.000 	364.000 	486.000 	424.000 	381.000 	437.000 	487.000 	452.000 	475.000 	508.000 	551.000 	506.000 	466.000 	523.000 	503.000 	467.000 	452.000 	521.000 	548.000 	485.000 	512.000 	448.000 	457.000 	563.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,HU	720.000 	571.000 	505.000 	445.000 	470.000 	421.000 	563.000 	383.000 	324.000 	356.000 	304.000 	326.000 	374.000 	365.000 	343.000 	367.000 	464.000 	489.000 	410.000 	429.000 	756.000 	643.000 	577.000 	594.000 	695.000 	722.000 	748.000 	767.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,IE	2125.893 	2134.594 	2094.680 	2010.722 	1996.046 	2059.719 	1908.317 	1896.004 	1787.595 	1822.816 	1783.882 	1549.000 	598.000 	635.000 	602.000 	598.000 	547.000 	547.000 	361.000 	389.000 	276.000 	221.000 	223.000 	209.000 	193.000 	182.000 	175.000 	185.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,IT	18135.799 	16797.000 	17054.000 	13837.000 	14111.000 	14068.000 	20830.000 	20785.000 	17423.000 	16154.000 	16574.000 	15191.000 	16476.000 	15744.000 	16057.000 	: 	: 	: 	47707.000 	42534.000 	38305.000 	29991.000 	26846.000 	24677.000 	21383.000 	18200.000 	16534.000 	15104.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,LT	781.600 	837.000 	875.000 	690.000 	571.000 	738.000 	549.000 	501.000 	567.000 	400.000 	563.000 	358.000 	365.000 	329.000 	191.000 	150.000 	72.000 	103.000 	69.000 	62.000 	51.000 	45.000 	48.000 	30.000 	34.000 	69.000 	86.000 	138.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,LU	165.411 	177.029 	163.997 	169.072 	185.939 	181.443 	177.244 	188.128 	180.923 	162.614 	153.251 	185.542 	174.919 	171.598 	145.871 	131.809 	66.399 	47.549 	178.000 	175.000 	101.000 	112.000 	100.000 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,LV	179.233 	190.000 	239.000 	237.000 	244.000 	166.000 	75.000 	63.000 	56.000 	58.000 	60.000 	69.000 	74.000 	77.000 	50.000 	36.000 	34.000 	23.000 	41.000 	59.000 	45.000 	61.000 	47.000 	21.000 	27.000 	48.000 	57.000 	83.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,MD	33.000 	37.000 	36.000 	57.000 	30.000 	26.000 	25.000 	30.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,MK	: 	: 	: 	1.000 	2.000 	2.000 	2.000 	2.000 	1.000 	3.000 	3.000 	1.000 	3.000 	3.000 	5.000 	5.000 	4.000 	9.000 	22.000 	37.000 	29.000 	34.000 	8.000 	21.000 	43.000 	66.000 	66.000 	108.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,MT	9.000 	8.000 	7.000 	7.000 	6.000 	9.000 	5.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,NL	20623.472 	18930.473 	19167.793 	18128.000 	21296.412 	22254.177 	20819.000 	20281.000 	18064.000 	18617.000 	15561.000 	13634.000 	11410.000 	10473.000 	10343.000 	10432.000 	10557.000 	10770.000 	10312.000 	10717.000 	10709.000 	10387.000 	10167.000 	11985.000 	11524.000 	12779.000 	11597.000 	11429.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,NO	2521.000 	2598.000 	2596.000 	2587.000 	2425.000 	2564.000 	2507.000 	2141.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,PL	10846.122 	9730.000 	8818.000 	8373.000 	8374.000 	7947.000 	7883.000 	7486.000 	6469.000 	6339.000 	7220.000 	7524.000 	7430.000 	7489.000 	7240.000 	7107.000 	7060.000 	6552.000 	6556.000 	6810.000 	7318.000 	7470.000 	7609.000 	6532.000 	6610.000 	6198.000 	5951.000 	6068.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,PT	6955.614 	6809.000 	6984.000 	7293.000 	7873.000 	7381.000 	7406.000 	6971.000 	5801.000 	5364.000 	5732.000 	5076.000 	4871.000 	4504.000 	4464.000 	4563.000 	4124.000 	4256.000 	4504.000 	3948.000 	3769.000 	3209.000 	3095.000 	2619.000 	2126.000 	1785.000 	1602.000 	1403.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,RO	937.184 	921.000 	1382.000 	1422.000 	1609.000 	2050.000 	1977.000 	1792.000 	1542.000 	2231.000 	1905.000 	1865.000 	2005.000 	1890.000 	1399.000 	1467.000 	1240.000 	1225.000 	962.000 	966.000 	907.000 	813.000 	772.000 	806.000 	1011.000 	1070.000 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,RS	489.184 	420.000 	292.000 	257.000 	177.000 	150.000 	131.000 	151.000 	13.000 	1.000 	95.000 	94.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,SE	5986.000 	5527.000 	5613.000 	5583.000 	5640.000 	6111.000 	5790.000 	6418.000 	5573.000 	6247.000 	5763.000 	5041.000 	4571.000 	4592.000 	4446.000 	4358.000 	3695.000 	3667.000 	3440.000 	3619.000 	3891.000 	4029.000 	3844.000 	3832.000 	3533.000 	3089.000 	2907.000 	2585.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,SI	238.264 	238.000 	237.000 	240.000 	210.000 	216.000 	211.000 	247.000 	252.000 	243.000 	267.000 	280.000 	328.000 	322.000 	296.000 	297.000 	395.000 	408.000 	327.000 	320.000 	309.000 	234.000 	244.000 	246.000 	237.000 	278.000 	532.000 	893.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,SK	2002.000 	1949.000 	1988.000 	1801.000 	1686.000 	1534.000 	1661.000 	1902.000 	1969.000 	2543.000 	2470.000 	2596.000 	2213.000 	2114.000 	2122.000 	2218.000 	2192.000 	1430.000 	1244.000 	1133.000 	1609.000 	1436.000 	1485.000 	1216.000 	1452.000 	2227.000 	2121.000 	2337.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,TR	5203.105 	5077.000 	4291.000 	4169.000 	3600.000 	3565.000 	3659.000 	4068.000 	4139.000 	5378.000 	5964.000 	5167.000 	4823.000 	4317.000 	4850.000 	5252.000 	5214.000 	4791.000 	10858.000 	8837.000 	6893.000 	5388.000 	5041.000 	3917.000 	3578.000 	3188.000 	2925.000 	2889.000 
CHP,PRR_AUTO,NEP,TOTAL,GWH,UA	2802.000 	4160.000 	1408.000 	1860.000 	2044.000 	2413.000 	2878.000 	3524.000 	3284.000 	4079.000 	3217.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,TOTAL,GWH,UK	20172.516 	19397.345 	18447.861 	18052.000 	17889.000 	20924.000 	20897.000 	24449.000 	24243.000 	25472.000 	25508.000 	26190.000 	26262.000 	24995.000 	23747.000 	23487.000 	21571.000 	25490.000 	19401.000 	17880.000 	16034.000 	15237.000 	13814.000 	12088.000 	11718.000 	11926.000 	10496.000 	9398.000 
CHP,PRR_AUTO,NEP,X9900,GWH,CZ	59.553 	53.000 	52.000 	52.000 	50.000 	52.000 	56.000 	57.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,DE	463.000 	455.000 	364.000 	527.000 	437.000 	427.000 	473.000 	586.000 	556.000 	504.000 	806.000 	1440.000 	1488.000 	990.000 	918.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.000 	19.000 	13.000 	16.000 	39.000 	38.000 	38.000 	39.000 	34.000 	23.000 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,EA19	578.605 	579.777 	464.294 	645.173 	518.250 	700.949 	719.912 	871.000 	1077.000 	998.000 	1354.000 	1791.000 	6007.000 	3973.000 	938.000 	20.000 	20.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,ES	30.000 	41.000 	23.000 	: 	: 	155.000 	154.000 	143.000 	329.000 	289.000 	292.000 	300.000 	4499.000 	2963.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,EU28	655.658 	650.777 	545.294 	718.173 	605.250 	760.949 	783.912 	935.000 	1085.000 	1006.000 	1522.000 	2031.000 	6244.000 	4195.000 	957.000 	33.000 	36.000 	39.000 	38.000 	38.000 	39.000 	34.000 	23.000 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,FI	1.000 	3.000 	: 	: 	: 	4.000 	16.000 	12.000 	13.000 	22.000 	13.000 	1.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,FR	56.605 	45.777 	54.294 	78.173 	58.250 	82.949 	41.912 	90.000 	146.000 	149.000 	193.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,HU	10.000 	8.000 	20.000 	13.000 	29.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,PL	7.500 	10.000 	9.000 	8.000 	8.000 	8.000 	8.000 	7.000 	8.000 	8.000 	168.000 	240.000 	237.000 	211.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900,GWH,SK	28.000 	35.000 	23.000 	40.000 	23.000 	32.000 	35.000 	40.000 	33.000 	34.000 	50.000 	50.000 	20.000 	20.000 	20.000 	20.000 	20.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900H,GWH,BE	274.600 	284.000 	262.000 	226.000 	252.000 	103.000 	66.000 	107.000 	26.000 	110.000 	94.000 	102.000 	112.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900H,GWH,BG	: 	: 	: 	: 	15.000 	15.000 	23.000 	14.000 	15.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900H,GWH,CZ	17.133 	15.000 	: 	3.000 	: 	: 	: 	: 	: 	1.000 	1.000 	1.000 	1.000 	1.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900H,GWH,EA19	650.600 	669.000 	623.000 	584.000 	604.000 	476.000 	451.000 	488.000 	415.000 	481.000 	461.000 	441.000 	464.000 	326.000 	318.000 	286.000 	170.000 	198.000 	52.000 	44.000 	33.000 	28.000 	28.000 	20.000 	16.000 	16.000 	26.000 	35.000 
CHP,PRR_AUTO,NEP,X9900H,GWH,EU28	721.963 	738.000 	725.000 	715.000 	717.000 	560.000 	567.000 	575.000 	456.000 	537.000 	534.000 	506.000 	519.000 	383.000 	318.000 	286.000 	170.000 	198.000 	52.000 	44.000 	33.000 	28.000 	28.000 	20.000 	16.000 	16.000 	26.000 	35.000 
CHP,PRR_AUTO,NEP,X9900H,GWH,FI	133.000 	123.000 	98.000 	118.000 	120.000 	150.000 	133.000 	137.000 	127.000 	142.000 	143.000 	147.000 	156.000 	159.000 	154.000 	151.000 	105.000 	109.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900H,GWH,LT	243.000 	262.000 	255.000 	234.000 	228.000 	218.000 	248.000 	241.000 	262.000 	229.000 	224.000 	192.000 	196.000 	167.000 	164.000 	135.000 	65.000 	89.000 	52.000 	44.000 	33.000 	28.000 	28.000 	20.000 	16.000 	16.000 	26.000 	35.000 
CHP,PRR_AUTO,NEP,X9900H,GWH,PL	54.230 	54.000 	102.000 	128.000 	98.000 	69.000 	93.000 	73.000 	26.000 	55.000 	72.000 	64.000 	54.000 	56.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900H,GWH,PT	: 	: 	8.000 	6.000 	4.000 	5.000 	4.000 	3.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NEP,X9900H,GWH,UA	45.000 	79.000 	468.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NHP,CF,TJ,AT	11425.821 	10421.522 	9836.479 	8390.760 	9818.001 	9498.971 	7615.900 	7625.897 	5221.439 	4841.182 	5779.488 	5059.119 	4028.616 	4027.000 	3033.000 	2878.000 	3267.000 	4934.000 	4914.000 	4090.000 	4811.000 	5290.000 	4781.000 	4415.000 	5869.000 	4903.000 	4709.000 	3981.000 
CHP,PRR_AUTO,NHP,CF,TJ,BE	401.400 	488.000 	528.000 	219.000 	: 	458.000 	691.000 	514.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,NHP,CF,TJ,BG	95.454 	159.000 	279.000 	87.000 	51.000 	62.000 	17.000 	10.000 	84.000 	205.000 	205.000 	140.000 	568.000 	592.000 	495.000 	255.000 	521.000 	890.000 	890.000 	1220.000 	1475.000 	45367.000 	42790.000 	36297.000 	34099.000 	31001.000 	36310.000 	60000.000 
CHP,PRR_AUTO,NHP,CF,TJ,CZ	7908.116 	10619.000 	9595.000 	9370.000 	9394.000 	9455.000 	9208.000 	11542.000 	11625.000 	12925.000 	13856.000 	14152.000 	15970.000 	12507.000 	12630.000 	16020.000 	16179.000 	15596.000 	21767.000 	17701.000 	24893.000 	21895.000 	20279.000 	23194.000 	32875.000 	31784.000 	30904.000 	29259.000 
CHP,PRR_AUTO,NHP,CF,TJ,DK	22750.391 	21463.622 	21589.130 	19162.000 	17728.000 	18114.000 	17917.000 	17625.000 	17152.000 	17015.000 	16050.000 	15356.000 	14885.000 	12232.000 	10543.000 	9464.000 	8483.000 	8374.000 	7048.000 	5880.000 	4776.000 	5122.000 	3846.000 	3620.000 	3117.000 	2522.000 	1943.000 	694.000 
CHP,PRR_AUTO,NHP,CF,TJ,EA19	167405.435 	158368.500 	164541.133 	176261.950 	195272.107 	194176.817 	194840.310 	200046.692 	185772.374 	243142.790 	252957.537 	286018.188 	286945.151 	280530.829 	158851.051 	160602.064 	153797.206 	143242.240 	70263.000 	88324.000 	80996.000 	75243.000 	58323.000 	45524.000 	39609.000 	43436.000 	44184.000 	41445.000 
CHP,PRR_AUTO,NHP,CF,TJ,EE	50.000 	: 	: 	: 	48.000 	46.000 	135.000 	175.000 	156.000 	171.000 	202.000 	206.000 	240.000 	268.000 	258.000 	193.000 	365.000 	309.000 	119.000 	394.000 	430.000 	1023.000 	1092.000 	2152.000 	640.000 	584.000 	1404.000 	1915.000 
CHP,PRR_AUTO,NHP,CF,TJ,EU28	234339.220 	222752.122 	226788.263 	234710.950 	255891.107 	253026.817 	250552.310 	262466.692 	240397.374 	307181.790 	335381.537 	382541.188 	385727.151 	367832.829 	260591.051 	245883.064 	235353.206 	222758.240 	162981.000 	170062.000 	173744.000 	211311.000 	202866.000 	354679.000 	420001.000 	432596.000 	349341.000 	405824.000 
CHP,PRR_AUTO,NHP,CF,TJ,FI	9316.000 	10439.000 	12840.000 	13030.000 	11966.000 	9674.000 	8751.000 	12007.000 	10978.000 	10035.000 	10950.000 	12280.000 	10938.000 	12078.000 	11065.000 	11380.000 	9912.000 	11068.000 	14328.000 	13229.000 	13073.000 	13058.000 	: 	: 	: 	: 	: 	: 
